"","likelihood","bart","expr","rank_size","cancer"
"1",6.4301624263314e-18,0.123,0.648451587461883,8,"BLCA"
"2",3.46472154354731e-13,0.576,0.87768866009169,4,"BRCA_1"
"3",0.000584361560648824,0.196,1.38216313147211,1,"BRCA_2"
"4",7.97208665094416e-11,0.743,0.870885629457136,5,"COAD_READ"
"5",8.04547811274908e-11,0.864,0.520266868154477,9,"HNSC"
"6",0.127159669028916,0.212,-0.388983304084539,15,"KICH"
"7",0.000160779581098741,0.505,0.0444061049192473,10,"KIRC"
"8",2.65868608725435e-05,0.681,-0.264339910855262,14,"KIRP"
"9",1.07927366601668e-10,0.502,-0.134199470370829,13,"LIHC"
"10",1.63967962694916e-16,0.868,0.710551824246546,6,"LUAD"
"11",8.43145601865258e-05,0.899,1.18623643528597,2,"LUSC"
"12",2.01738744782585e-07,0.476,-0.0173365304752006,11,"PRAD"
"13",0.000260146298659043,0.934,1.04724299422422,3,"STES"
"14",0.0147038783503162,0.726,-0.0971401268740121,12,"THCA"
"15",2.59267077162381e-14,0.134,0.67276869703855,7,"UCEC"
